value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,emotion
520,575,520,572,573,624,572,520,574,572,572,572,521,572,520,521,520,572,520.0,573.0,,,,,平静
520,574,572,572,572,521,572,520,521,520,572,520,573,520,572,624,573,572,520.0,521.0,,,,,平静
520,521,520,572,520,573,520,572,624,573,572,520,521,572,572,572,521,520,520.0,624.0,,,,,平静
572,624,573,572,520,521,572,572,572,521,520,520,624,521,624,546,573,572,520.0,572.0,,,,,平静
572,572,521,520,520,624,521,624,546,573,572,520,572,625,520,572,521,572,572.0,572.0,,,,,平静
624,546,573,572,520,572,625,520,572,521,572,572,572,574,520,572,520,521,572.0,520.0,,,,,平静
625,520,572,521,572,572,572,574,520,572,520,521,572,520,573,520,520,572,573.0,572.0,,,,,平静
574,520,572,520,521,572,520,573,520,520,572,573,572,572,520,521,624,520,573.0,520.0,,,,,平静
573,520,520,572,573,572,572,520,521,624,520,573,520,572,572,573,572,572,572.0,573.0,,,,,平静
520,521,624,520,573,520,572,572,573,572,572,572,573,572,624,573,572,572,624.0,521.0,,,,,平静
572,520,573,572,572,625,572,572,520,573,520,572,573,520,520,572,573,572,571.0,624.0,,,,,平静
572,573,572,572,572,573,572,624,573,572,572,624,521,572,572,573,572,624,572.0,,,,,,平静
572,624,573,572,572,624,521,572,572,573,572,624,572,573,572,572,625,520,520.0,,,,,,平静
521,572,572,573,572,624,572,573,572,572,625,520,520,520,573,520,624,575,572.0,572.0,,,,,平静
572,573,572,572,625,520,520,520,573,520,624,575,572,572,520,573,624,520,572.0,521.0,,,,,平静
520,520,573,520,624,575,572,572,520,573,624,520,572,521,520,624,569,515,520.0,570.0,,,,,平静
572,520,573,624,520,572,521,520,624,569,515,520,570,573,571,571,570,521,624.0,572.0,,,,,平静
520,624,569,515,520,570,573,571,571,570,521,624,572,625,572,520,572,574,520.0,572.0,,,,,平静
552,572,624,520,573,572,520,520,573,572,520,572,521,624,572,573,572,572,572.0,625.0,,,,,平静
520,520,573,572,520,572,521,624,572,573,572,572,572,625,572,572,573,520,572.0,624.0,,,,,平静
624,572,573,572,572,572,625,572,572,573,520,572,624,521,572,520,520,573,572.0,,,,,,平静
572,572,520,573,520,572,573,520,520,572,573,572,571,624,573,624,572,573,572.0,572.0,,,,,平静
625,572,572,573,520,572,624,521,572,520,520,573,572,572,573,520,572,572,573.0,520.0,,,,,平静
520,521,520,572,520,600,520,572,572,521,468,520,520,573,572,572,573,572,624.0,624.0,,,,,平静
