RMSSD,pNN58,SDNN,SD1,SD2,SD1_SD2,emotion
82,21,47,58,32,1.8219220848658049,平静
91,42,51,64,33,1.92203427822992,平静
75,46,51,53,49,1.0690683240514824,平静
-116,64,102,98,105,0.94106793383292,平静
93,46,77,65,88,0.7456803423814696,悲伤
84,38,65,59,70,0.8502303018977038,悲伤
65,28,44,45,42,1.0870841962738529,悲伤
65,28,45,45,45,1.0089821892498554,悲伤
63,28,42,45,40,1.1069065436812289,悲伤
66,30,42,46,36,1.2826185754520465,悲伤
84,28,53,59,45,1.3206763594884354,悲伤
42,7,31,29,33,0.8793155726408239,悲伤
72,30,47,50,42,1.1879774082787289,悲伤
66,28,44,47,42,1.1053070239845326,悲伤
44,7,28,31,24,1.2826141204151855,悲伤
38,0,23,26,18,1.4784751395027051,悲伤
52,9,32,36,28,1.2954078352765843,悲伤
62,23,46,43,48,0.8969937018449042,悲伤
63,23,41,44,37,1.189353464782523,悲伤
73,38,43,51,34,1.5,悲伤
73,38,45,51,38,1.3265656924226743,悲伤
77,46,45,54,34,1.5725009464905049,悲伤
62,23,37,43,30,1.434860107958878,悲伤
82,30,49,57,39,1.454594630569272,悲伤
93,53,55,65,42,1.5345483731956508,悲伤
79,54,54,56,51,1.0877033564117082,悲伤
74,46,50,52,49,1.0739526214544264,悲伤
121,57,67,86,42,2.036035746624544,悲伤
101,28,63,71,53,1.3453757253250502,悲伤
50,15,32,35,29,1.2124355652982144,悲伤
79,46,47,56,35,1.586709506754003,悲伤
82,46,53,57,48,1.193780594424,悲伤
72,30,49,50,48,1.0481673094120898,悲伤
55,15,54,38,67,0.5768119471432562,悲伤
55,15,57,38,71,0.5432893249604276,悲伤
57,23,41,40,42,0.9562893448971892,悲伤
33,7,37,24,47,0.5030030300035687,悲伤
40,7,29,28,31,0.9090408255766108,悲伤
50,14,36,34,38,0.9065968278232492,悲伤
76,38,45,53,36,1.4525196903898168,悲伤
77,38,44,54,31,1.7156674049335632,悲伤
57,15,34,40,28,1.410554530206946,悲伤
55,15,34,39,30,1.302677894557859,悲伤
94,36,56,65,46,1.4244246232238391,平静
61,21,44,43,45,0.95798127693479,平静
55,14,42,38,45,0.8565898260141545,平静
77,38,61,53,67,0.7995710486536859,平静
86,46,56,61,52,1.1685284553504731,平静
-115,58,89,100,77,1.2951522516054668,平静
77,30,46,54,37,1.4488162399471003,平静
34,0,25,24,27,0.8872849572438337,平静
53,7,31,37,23,1.585816765838606,平静
50,7,33,34,32,1.0741723110591497,平静
50,15,30,35,25,1.3794609894300105,平静
43,7,26,31,21,1.4348601079588783,平静
36,0,37,25,47,0.547722557505166,平静
39,0,30,27,33,0.8366600265340758,平静
58,7,37,41,32,1.2875926129184283,平静
58,7,37,41,32,1.2875926129184276,平静
60,15,43,42,43,0.9743117323059032,平静
51,15,42,36,46,0.7826237921249263,平静
70,30,50,49,51,0.972518832855642,平静
61,21,36,43,29,1.486490192367926,平静
53,13,36,37,35,1.0601385783517805,平静
57,20,41,40,41,0.9595992025118556,平静
79,50,52,55,49,1.1285432580368246,平静
82,46,46,57,32,1.7989587393336317,平静
73,30,42,52,30,1.698035163306013,平静
42,7,57,29,75,0.3965257928590721,平静
44,7,70,30,94,0.3209019767615276,平静
79,46,52,56,48,1.1590935069473618,平静
99,76,58,69,43,1.598303952227023,平静
95,69,59,66,51,1.3066963799971163,平静
99,61,64,69,57,1.2098250135813235,平静
57,23,47,40,52,0.7628961803617725,平静
65,30,46,46,46,0.9846491497848464,平静
73,46,54,52,56,0.9163355389409122,平静
68,38,47,48,46,1.03164566323109,平静
81,33,56,57,55,1.040376794144754,平静
55,21,43,38,47,0.8049788476132135,平静
80,46,51,56,45,1.2462710336687215,平静
83,50,53,58,46,1.2734606563397977,平静
82,50,48,58,37,1.5539093108484363,平静
77,42,45,55,33,1.6558790668013674,平静
62,21,38,44,32,1.3516371839081212,平静
37,7,22,26,18,1.4638501094228002,平静
33,0,21,24,18,1.3228756555322954,平静
46,6,28,32,24,1.3528446619051584,平静
38,0,23,27,20,1.3618631650341446,平静
71,26,47,50,45,1.1116529843991685,平静
60,20,42,42,42,1.0057307059414875,平静
95,64,55,67,40,1.6634725753842856,平静
74,42,56,52,60,0.864957585894291,平静
104,42,63,73,52,1.406376398451972,平静
100,28,62,70,53,1.3228756555322954,平静
100,35,59,70,45,1.5626453420774271,平静
51,15,37,36,39,0.9163092499311756,平静
66,30,51,46,56,0.8324801834361906,平静
70,38,45,50,40,1.221393989951041,平静
64,33,43,45,42,1.0675547318511458,平静
57,20,36,40,31,1.290994448735806,平静
58,21,35,41,28,1.4662232805719178,平静
73,46,47,51,43,1.2061337463776347,平静
71,41,51,49,53,0.9302459329901648,平静
55,15,52,39,63,0.6244640564170452,平静
54,8,48,38,56,0.675331311115422,平静
46,0,36,32,40,0.8100731947945014,平静
65,15,46,46,46,0.9998541533395487,平静
114,38,74,80,67,1.1864613670584272,平静
110,46,69,78,59,1.3157368701604113,平静
106,46,74,75,72,1.0338478887247204,平静
75,50,57,53,61,0.8701507608001878,平静
87,64,59,61,56,1.0919260989075523,平静
74,42,48,52,44,1.1749239693220856,平静
56,21,51,40,61,0.6567418854872549,平静
35,7,40,24,52,0.4773655189521094,平静
70,35,52,50,54,0.916515138991168,平静
71,30,42,50,32,1.574839676727951,平静
83,46,50,58,40,1.438786766659,平静
65,30,40,45,33,1.365077537880115,平静
83,50,47,59,32,1.8176596737231303,平静
85,58,52,60,42,1.411647352341762,平静
57,25,43,40,46,0.8740894587831767,平静
51,16,46,36,54,0.6762197949971459,平静
127,46,82,90,72,1.2446522382573924,平静
120,30,81,85,78,1.0896668170092787,平静
-116,50,85,98,69,1.4147653037477486,平静
113,69,64,80,41,1.943128911413038,平静
113,69,66,80,49,1.6235700964690185,平静
50,7,37,35,40,0.8772875856031492,平静
51,7,51,36,62,0.5853694070049636,平静
53,7,45,37,52,0.7199448664217439,平静
62,23,45,43,47,0.923936435359796,平静
70,38,47,49,45,1.1017780400011918,平静
63,30,45,44,46,0.9660211818903044,平静
82,50,51,58,44,1.3130948379366305,平静
73,35,44,51,34,1.4882660211524112,平静
57,21,35,40,29,1.370281620316714,平静
59,28,41,42,41,1.0129932168425966,平静
66,38,108,45,-110,0.3076837647838278,平静
67,18,85,47,111,0.424069395104339,平静
72,27,86,50,111,0.4521827879774027,平静
35,0,33,25,39,0.6340834768940942,平静
33,0,23,24,22,1.0513149660756935,平静
77,25,56,54,57,0.9455694124784324,平静
72,30,54,51,57,0.8906015095835585,平静
74,30,63,52,72,0.7239131323590201,平静
59,21,39,41,37,1.102871183433533,平静
53,14,37,37,37,1.0000230967603276,平静
52,15,42,36,48,0.7559753683279811,平静
55,21,38,38,38,1.0077298211254972,平静
74,38,50,52,48,1.080123449734643,平静
60,15,52,42,61,0.6843651207031917,平静
65,23,47,46,48,0.9476819523138644,平静
61,16,51,42,58,0.728016596219317,平静
66,23,66,46,81,0.5758121728803283,平静
78,30,82,55,102,0.5374975211289124,平静
94,38,67,67,68,0.9769744115286824,平静
80,46,48,56,37,1.5215661432372205,平静
76,40,50,53,45,1.1805155743473257,平静
64,28,49,45,54,0.8310540795795817,平静
60,21,48,42,53,0.8016259479960558,平静
55,15,47,39,53,0.7233093677305348,平静
57,23,37,40,34,1.1567572299458928,平静
53,14,41,37,45,0.8231714435670602,平静
58,21,48,41,54,0.7615882146885771,平静
67,30,64,47,77,0.617418867282059,平静
70,38,48,49,47,1.0502340716072305,平静
67,30,43,47,39,1.2038137733368426,平静
58,15,38,40,35,1.1488270263178209,平静
51,7,36,36,36,1.007551487020457,平静
55,15,38,39,36,1.0715352326191936,平静
59,15,37,41,33,1.2486315032041189,平静
63,23,37,45,27,1.6358025519700357,平静
65,30,36,45,22,2.013114894621609,平静
72,46,44,50,37,1.362373152282665,平静
47,15,37,33,41,0.8208197045342616,平静
51,15,37,36,39,0.9219999021015912,平静
66,35,37,47,22,2.070389087171829,平静
91,57,47,64,20,3.1172947825740653,平静
56,14,48,39,56,0.7032559201200693,平静
63,23,42,44,39,1.1420033460691583,平静
57,15,36,40,32,1.2561405369985188,平静
46,7,28,32,24,1.3022249811697837,平静
48,15,28,34,22,1.4948150663602633,平静
64,20,44,45,42,1.06297194956354,平静
50,14,36,35,37,0.9403026238650533,平静
57,23,36,40,31,1.269493300712375,平静
66,35,43,47,38,1.2228193083361747,平静
72,38,50,50,51,0.9797467882293408,平静
58,23,54,41,65,0.6258813736781713,平静
65,30,41,45,35,1.2799601057612795,平静
66,33,43,46,40,1.1657688777018549,平静
55,16,38,39,37,1.0554288749605658,平静
50,8,38,35,41,0.8578164469184382,平静
50,8,32,35,29,1.201850425154663,平静
66,33,37,46,25,1.842666935722288,平静
72,41,48,50,44,1.1335601782375515,平静
66,30,54,46,60,0.7735856027190637,平静
56,14,43,39,46,0.8590635959324442,平静
57,15,54,40,64,0.6208975638161489,平静
55,15,41,38,43,0.8876516705005628,平静
45,8,43,31,53,0.5955305468009974,平静
61,16,48,43,52,0.827170191868511,平静
80,33,52,56,47,1.202210530159045,平静
67,30,43,48,37,1.2709778186044844,平静
66,30,40,46,31,1.4833199499015417,平静
45,8,31,32,30,1.0546203284040534,平静
47,16,38,33,43,0.7799427050673652,平静
70,25,48,49,46,1.0713049802518708,平静
74,30,45,52,37,1.4120691887933097,平静
66,30,49,46,53,0.8709735459746999,平静
65,30,51,45,56,0.8182696483380673,平静
67,38,55,48,61,0.7853793024697451,平静
53,15,34,37,31,1.188041002193253,平静
66,30,38,46,27,1.6940190437674347,平静
67,30,38,48,25,1.8737349460219377,平静
58,23,33,41,21,1.935157560577133,平静
40,0,37,28,45,0.6187426844844899,平静
117,16,77,82,73,1.119032778556381,平静
-102,50,85,108,53,2.0421245830737096,平静
-105,53,85,107,56,1.894661866862684,平静
65,30,42,45,38,1.196007852235384,平静
88,50,69,61,76,0.8115843109469387,平静
83,40,61,59,64,0.9172779877185148,平静
85,43,54,60,47,1.2679046711014168,平静
60,26,48,42,53,0.7993532556145754,平静
58,28,45,41,49,0.8245742071189895,平静
67,33,48,47,48,0.9930795016269964,平静
64,25,48,45,50,0.9070748646757786,平静
80,41,48,57,39,1.4614463198332297,平静
85,58,50,60,36,1.63869562494746,平静
77,46,52,54,49,1.096014015305161,平静
63,30,48,44,52,0.8539392704111679,平静
74,33,63,52,71,0.7369119153496752,平静
78,41,56,55,56,0.9923014714233156,平静
65,33,76,45,97,0.4683969097940978,平静
73,41,74,51,92,0.5572612002387242,平静
65,27,72,45,91,0.497969406927307,平静
49,8,45,34,54,0.6393108524894647,平静
61,25,37,43,31,1.362770287738494,平静
79,53,48,56,39,1.4123291996942218,平静
79,50,51,55,46,1.193045541558903,平静
69,33,52,48,55,0.8739140115805615,平静
55,16,42,39,45,0.8601770808925598,平静
