RMSSD,pNN58,SDNN,SD1,SD2,SD1_SD2,emotion
46,7,28,32,22,1.4638501094227996,平静
59,14,36,41,29,1.4316092171032742,平静
76,28,47,54,38,1.4054002836043182,平静
82,50,61,58,65,0.8899438184514794,平静
48,14,38,34,42,0.79289043928488,平静
37,0,32,26,37,0.7098482352354012,平静
56,21,38,39,37,1.0559867014641162,平静
51,14,36,36,35,1.020854110414716,平静
63,20,39,44,33,1.3211565181516327,平静
77,46,43,54,27,1.984920305966984,平静
78,38,45,55,31,1.7711518273943734,平静
71,30,40,50,28,1.7804804687324505,平静
51,15,32,36,29,1.2393459200548322,平静
50,15,30,35,25,1.4094277159494517,平静
60,23,37,42,32,1.3201108525772365,平静
63,28,46,44,48,0.9126228165776096,平静
83,35,54,59,48,1.2124781701537803,平静
81,28,52,57,46,1.2319656124410685,平静
48,0,31,33,29,1.1372714630470846,平静
71,23,42,50,34,1.4539171902912804,平静
54,15,43,38,48,0.7948209791931725,平静
46,7,35,32,37,0.8751956254589621,平静
103,38,57,72,36,1.999971101397969,平静
103,42,67,73,60,1.209015114994826,平静
115,38,69,81,54,1.5034945388786776,平静
87,30,66,61,70,0.8748113298649164,平静
57,23,39,40,39,1.0126791141903295,平静
62,23,41,43,40,1.078274889392441,平静
55,23,37,38,36,1.0607977943078686,平静
58,28,40,41,40,1.0139941667687842,平静
88,50,58,62,53,1.1732328741387106,平静
81,30,54,57,50,1.131012331003142,平静
92,38,57,64,50,1.2949803394380184,平静
94,30,58,66,50,1.320212938248597,平静
91,30,57,64,48,1.3486464360665833,平静
84,23,49,59,37,1.579963698870134,平静
126,38,68,89,37,2.3909551787239067,平静
62,23,47,43,50,0.8616935686845806,悲伤
56,21,31,39,20,1.890257804857804,悲伤
65,35,37,46,27,1.7029308956187887,悲伤
80,57,44,56,26,2.1710205698093934,悲伤
83,64,46,58,28,2.0770620278030787,悲伤
70,42,39,50,26,1.921355610298356,悲伤
72,35,44,50,36,1.4086681395647629,悲伤
51,15,31,36,25,1.425083317025329,悲伤
43,7,32,30,33,0.8946020409665936,悲伤
60,15,39,43,35,1.213907284108731,悲伤
72,30,45,51,39,1.3021032323393615,悲伤
91,53,53,64,38,1.67303881150205,悲伤
76,30,46,54,36,1.504768624496321,悲伤
85,42,55,60,50,1.1836350815361711,悲伤
75,35,54,53,56,0.947340946531492,悲伤
-105,61,92,107,75,1.4102661619414796,悲伤
113,46,84,79,89,0.8813972667766378,悲伤
97,30,57,69,42,1.6210644957297848,悲伤
60,23,38,42,32,1.3176755701227747,悲伤
66,30,41,47,35,1.3455392607501897,悲伤
59,23,40,41,39,1.0609875902163644,悲伤
69,30,41,48,31,1.5402548286691045,悲伤
55,15,32,39,23,1.673169489645475,悲伤
50,7,32,35,29,1.1860547885114645,悲伤
58,15,32,41,19,2.112866998901411,悲伤
68,30,37,48,23,2.0383711430490346,悲伤
51,15,30,36,22,1.6033876532843685,悲伤
83,61,49,58,38,1.506052332472269,悲伤
60,23,43,42,43,0.9743539646302756,悲伤
68,30,39,48,28,1.690086341724424,悲伤
62,23,38,44,30,1.4300087336256468,悲伤
53,15,42,37,47,0.8067864559782061,悲伤
50,7,30,35,25,1.4181687757201644,悲伤
-121,30,75,95,45,2.096117829017138,悲伤
-122,30,75,95,46,2.032239951690457,悲伤
66,28,36,47,19,2.378961844893579,悲伤
69,35,38,48,24,2.025162996910697,悲伤
71,30,43,50,35,1.4232745411500167,悲伤
106,69,57,75,30,2.43067533290464,悲伤
82,38,50,58,42,1.3805257265718651,悲伤
68,35,41,47,34,1.3910714684983496,悲伤
86,57,48,60,30,1.9659397829671463,悲伤
77,38,42,55,25,2.18126060808585,悲伤
66,15,38,47,26,1.812392840654693,悲伤
49,7,31,34,27,1.2756175406411645,悲伤
64,23,45,45,45,0.9870491233947054,悲伤
74,38,47,52,41,1.2664707178383392,悲伤
54,14,32,38,25,1.5207119977436594,悲伤
50,14,33,35,32,1.094607004393246,悲伤
50,15,42,35,49,0.7158237524631873,悲伤
62,30,42,44,41,1.0620550949749823,悲伤
57,21,45,40,49,0.8051877339042166,悲伤
56,21,37,39,34,1.163789410276228,悲伤
61,28,37,43,29,1.446879489460151,悲伤
61,28,36,43,27,1.5676041530843758,悲伤
58,23,57,41,69,0.600041920713295,悲伤
50,7,48,35,59,0.5976433666194905,悲伤
58,16,51,40,60,0.6707811033211859,悲伤
56,21,31,40,20,1.917657232937617,悲伤
55,21,32,38,23,1.694352411210567,悲伤
32,0,20,23,17,1.314697189918935,悲伤
44,7,29,31,27,1.1347611032794356,悲伤
50,15,37,35,38,0.9055331528081388,悲伤
64,30,42,45,38,1.186834706663199,悲伤
56,23,42,40,44,0.8975490703936092,悲伤
53,21,38,37,39,0.9534625892455924,悲伤
76,35,45,53,35,1.5292298322475757,悲伤
81,38,46,57,32,1.79505792171547,悲伤
80,30,46,56,32,1.765577949403624,悲伤
108,47,62,76,44,1.703478774631497,悲伤
63,14,78,45,101,0.4448382068443762,悲伤
41,0,30,29,32,0.9095919971429148,悲伤
48,7,36,33,39,0.8574154776869004,悲伤
57,15,32,40,22,1.8157637008281,悲伤
60,23,37,42,32,1.3354660718911782,悲伤
73,46,42,51,31,1.6686109998190437,悲伤
64,30,36,45,25,1.7717150523895149,悲伤
69,23,41,48,31,1.5368867638221173,悲伤
57,7,36,40,32,1.2303836151725829,悲伤
66,21,40,46,32,1.4189584403597963,悲伤
64,28,35,45,20,2.2095720701477872,悲伤
66,30,37,46,25,1.8375018775067216,悲伤
60,23,37,42,32,1.3304793556347212,悲伤
55,15,32,39,24,1.641464889983852,悲伤
65,28,39,46,32,1.4376181561045107,悲伤
54,15,31,38,21,1.787065770479085,悲伤
49,14,35,34,35,0.9777707217562116,悲伤
43,7,33,30,36,0.8569175357578055,悲伤
62,28,41,43,39,1.121238285813971,悲伤
96,53,57,67,45,1.4902975492676902,悲伤
96,53,54,68,35,1.9276186318979909,悲伤
56,21,38,40,37,1.0738507583703087,悲伤
44,7,28,31,24,1.2860445992863394,悲伤
59,14,42,42,42,0.9898474527915802,悲伤
88,46,54,62,45,1.3934151712307632,悲伤
94,53,54,66,39,1.6955824957813166,悲伤
65,28,40,45,34,1.3292139634999969,悲伤
69,35,40,48,30,1.625254082153564,悲伤
65,28,39,45,32,1.41659385272676,悲伤
65,30,38,46,27,1.6896511702318695,悲伤
52,15,32,37,25,1.4366435817145753,悲伤
64,30,37,45,27,1.626171257937413,悲伤
55,15,31,39,21,1.8149704259460608,悲伤
